age,gender_label,gender_male,field_label,is_stem,academic_status,ai_course_experience,ai_usage_duration,ai_frequency_label,ai_frequency,weekly_time,confidence,self_rated_knowledge,3.1_correct,3.2_correct,3.3_correct,3.4_correct,3.5_correct,3.6_correct,3.7_correct,3.8_correct,3.9_correct,3.10_correct,3.11_correct,OLS,self_estimate,overconfidence_gap,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,competence_trust,perceived_risk,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,domain_low_stakes,domain_high_stakes,passed_math_check,passed_agree_check,passed_attention,timestamp
23.0,Male,1.0,Business/Management/Marketing,0,Master's student,No,More than 2 years,Daily,5,More than 7 hours,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,1.8333333333333333,3.6,3.0,4.0,4.0,4.0,3.0,2.0,1.0,2.0,3.5,2.25,True,True,True,2026/06/02 4:38:00 PM MEZ
25.0,Male,1.0,Law,0,Master's student,No,1–2 years,Less than once a month,2,I don't use them weekly,3.0,2.0,0,0,0,0,1,1,0,0,1,0,0,3,6.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,3.1666666666666665,2.2,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.25,1.0,True,True,True,2026/06/02 5:07:05 PM MEZ
22.0,Male,1.0,AI/Data Science/Machine Learning,1,Master's student,Yes (>3 courses),More than 2 years,A few times a week,4,Less than 30 minutes,4.0,4.0,1,1,0,1,0,1,1,1,1,1,1,9,11.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,3.6666666666666665,3.8,4.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,3.75,2.5,True,True,True,2026/06/02 5:22:45 PM MEZ
23.0,Female,0.0,Neuroscience,1,Master's student,Yes (>3 courses),More than 2 years,A few times a week,4,3–7 hours,4.0,5.0,1,0,1,1,1,1,1,0,1,1,0,8,10.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,4.0,3.0,5.0,4.0,1.0,2.6666666666666665,3.4,3.0,4.0,4.0,5.0,3.0,4.0,3.0,2.0,3.75,3.25,True,True,True,2026/06/02 5:31:24 PM MEZ
24.0,Male,1.0,Computer Science/Informatics,1,Master's student,Yes (>3 courses),More than 2 years,Multiple times per day,6,1–3 hours,5.0,5.0,1,1,1,1,1,1,1,0,1,1,1,10,11.0,1.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,3.6666666666666665,2.2,5.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,4.0,2.25,True,True,True,2026/06/02 5:32:21 PM MEZ
26.0,Male,1.0,Law,0,Graduate working,No,More than 2 years,A few times a month,3,Less than 30 minutes,2.0,3.0,0,0,1,0,1,0,0,0,0,0,1,3,5.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,3.8333333333333335,3.8,3.0,2.0,3.0,5.0,5.0,3.0,4.0,4.0,3.75,3.5,True,True,True,2026/06/02 7:26:59 PM MEZ
23.0,Male,1.0,Business/Management/Marketing,0,Master's student,Yes (1 course),1–2 years,Multiple times per day,6,More than 7 hours,4.0,5.0,1,1,1,1,0,0,1,1,1,1,1,9,9.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.5,2.4,3.0,4.0,4.0,5.0,4.0,5.0,2.0,2.0,4.0,3.25,True,True,True,2026/06/02 8:19:56 PM MEZ
25.0,Male,1.0,AI/Data Science/Machine Learning,1,Master's student,Yes (2–3 courses),More than 2 years,Multiple times per day,6,3–7 hours,3.0,4.0,1,1,1,1,1,1,1,1,1,0,0,9,8.0,-1.0,4.0,4.0,3.0,2.0,3.0,5.0,3.0,4.0,2.0,4.0,4.0,3.5,3.4,3.0,4.0,3.0,5.0,4.0,1.0,1.0,2.0,4.0,1.75,True,True,True,2026/06/02 8:39:00 PM MEZ
28.0,Male,1.0,Computer Science/Informatics,1,Master's student,Yes (2–3 courses),More than 2 years,Multiple times per day,6,3–7 hours,5.0,5.0,1,1,1,0,1,1,1,1,1,1,1,10,9.0,-1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,3.6666666666666665,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,True,True,True,2026/06/02 8:51:37 PM MEZ
25.0,Male,1.0,AI/Data Science/Machine Learning,1,Master's student,Yes (>3 courses),1–2 years,Multiple times per day,6,More than 7 hours,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,11,11.0,0.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,3.8333333333333335,3.2,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.25,True,True,True,2026/06/03 11:26:58 AM MEZ
